The 'absorption cross section' of Ozone at the relevant wavelength has been updated,,,,,,,,,,,,,,,,
by the BIPM (the international bureau of weights and measures) and reflected within,,,,,,,,,,,,,,,,
the updated CEN reference method EN14625:2024. This results in an increase of ~1.24%,,,,,,,,,,,,,,,,
and will dramatically improve measurement uncertainty - this change has been applied,,,,,,,,,,,,,,,,
to all data from 1 January 2025.,,,,,,,,,,,,,,,,
Please refer to the UK-AIR data page ( https://uk-air.defra.gov.uk/data/ ) for further details:,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
"Daily Mean data	    supplied by UK-air on 31/12/2025",,,,,,,,,,,,,,,,
All Data GMT hour ending,,,,,,,,,,,,,,,,
Status: V=Verified P=Provisionaly Verified N=Not Verified S=Suspect,,,,,,,,,,,,,,,,
,Sheffield Barnsley Road,,,,Sheffield Devonshire Green,,,,,,Sheffield Tinsley,,,,,
Latitude,53.40495,,,,53.378622,,,,,,53.41058,,,,,
Longitude,-1.455815,,,,-1.478096,,,,,,-1.396139,,,,,
Site Type,Urban Traffic,,,,Urban Background,,,,,,Urban Background,,,,,
Zone,Yorkshire & Humberside,,,,Yorkshire & Humberside,,,,,,Yorkshire & Humberside,,,,,
Agglomeration,Sheffield Urban Area,,,,Sheffield Urban Area,,,,,,Sheffield Urban Area,,,,,
Local Authority,Sheffield,,,,Sheffield,,,,,,Sheffield,,,,,
Date,Nitrogen dioxide,Status,PM2.5 particulate matter (Hourly measured),Status,Ozone,Status,Nitrogen dioxide,Status,PM2.5 particulate matter (Hourly measured),Status,Ozone,Status,Nitrogen dioxide,Status,PM2.5 particulate matter (Hourly measured),Status
09/04/2022,28,V ugm-3,5,V ugm-3 (BAM),68,V ugm-3,12,V ugm-3,4,V ugm-3 (Ref.eq),,,20,V ugm-3,,
10/04/2022,39,V ugm-3,9,V ugm-3 (BAM),57,V ugm-3,24,V ugm-3,6,V ugm-3 (Ref.eq),,,22,V ugm-3,,
11/04/2022,40,V ugm-3,13,V ugm-3 (BAM),62,V ugm-3,24,V ugm-3,12,V ugm-3 (Ref.eq),,,15,V ugm-3,,
12/04/2022,52,V ugm-3,35,V ugm-3 (BAM),30,V ugm-3,34,V ugm-3,29,V ugm-3 (Ref.eq),,,32,V ugm-3,,
13/04/2022,37,V ugm-3,8,V ugm-3 (BAM),59,V ugm-3,15,V ugm-3,6,V ugm-3 (Ref.eq),,,36,V ugm-3,,
14/04/2022,46,V ugm-3,10,V ugm-3 (BAM),41,V ugm-3,24,V ugm-3,7,V ugm-3 (Ref.eq),,,40,V ugm-3,,
15/04/2022,36,V ugm-3,12,V ugm-3 (BAM),45,V ugm-3,24,V ugm-3,10,V ugm-3 (Ref.eq),,,24,V ugm-3,,
16/04/2022,33,V ugm-3,19,V ugm-3 (BAM),53,V ugm-3,22,V ugm-3,20,V ugm-3 (Ref.eq),,,13,V ugm-3,,
17/04/2022,38,V ugm-3,13,V ugm-3 (BAM),72,V ugm-3,17,V ugm-3,15,V ugm-3 (Ref.eq),,,13,V ugm-3,,
18/04/2022,25,V ugm-3,5,V ugm-3 (BAM),74,V ugm-3,8,V ugm-3,4,V ugm-3 (Ref.eq),,,18,V ugm-3,,
19/04/2022,38,V ugm-3,8,V ugm-3 (BAM),61,V ugm-3,17,V ugm-3,7,V ugm-3 (Ref.eq),,,24,V ugm-3,,
20/04/2022,38,V ugm-3,10,V ugm-3 (BAM),68,V ugm-3,18,V ugm-3,10,V ugm-3 (Ref.eq),,,17,V ugm-3,,
21/04/2022,35,V ugm-3,16,V ugm-3 (BAM),66,V ugm-3,21,V ugm-3,17,V ugm-3 (Ref.eq),,,19,V ugm-3,,
22/04/2022,25,V ugm-3,10,V ugm-3 (BAM),74,V ugm-3,13,V ugm-3,12,V ugm-3 (Ref.eq),,,10,V ugm-3,,
23/04/2022,22,V ugm-3,No data,V ugm-3 (BAM),73,V ugm-3,12,V ugm-3,15,V ugm-3 (Ref.eq),,,11,V ugm-3,,
24/04/2022,18,V ugm-3,No data,V ugm-3 (BAM),75,V ugm-3,8,V ugm-3,10,V ugm-3 (Ref.eq),,,8,V ugm-3,,
25/04/2022,37,V ugm-3,No data,V ugm-3 (BAM),58,V ugm-3,21,V ugm-3,11,V ugm-3 (Ref.eq),,,20,V ugm-3,,
